Input_R1,Input_R2,D7_R1,D7_R2,D14_R1,D14_R2
BORA_crRNA0777:1164-1190_T9_0.991_0.771350529684741,538,754,542,706,361,616
BORA_crRNA0778:1165-1191_T10_0.9904_0.771350529684741,650,890,611,781,537,557
BORA_crRNA0812:1199-1225_B5_0.002011_0.477232923188715,447,680,410,467,227,551
BORA_crRNA0814:1201-1227_B4_0.001508_0.459114168749362,593,882,499,684,366,692
BORA_crRNA0815:1202-1228_B2_0.0005028_0.453322918928237,708,1111,725,877,515,669
BORA_crRNA0816:1203-1229_B7_0.003017_0.485585357486101,439,752,453,581,320,537
BORA_crRNA0817:1204-1230_B20_0.009553_0.517404310362549,579,715,506,577,391,658
BORA_crRNA0962:1349-1375_T6_0.9955_0.787218981914991,509,743,444,558,329,439
BORA_crRNA0963:1350-1376_T12_0.9894_0.769124536711894,441,544,252,333,424,396
BORA_crRNA0964:1351-1377_T4_0.9965_0.789827517841388,569,723,465,611,321,712
BORA_crRNA0965:1352-1378_T18_0.9839_0.764379498710706,635,720,480,766,365,700
BORA_crRNA1038:1425-1451_T16_0.9864_0.765626355765621,448,899,400,647,416,624
BORA_crRNA1041:1428-1454_T11_0.9899_0.770706677714872,460,694,473,523,340,356
BORA_crRNA1042:1429-1455_T15_0.9879_0.767096889457899,514,826,450,719,407,1461
BORA_crRNA1043:1430-1456_T20_0.9814_0.761155367166827,710,962,619,930,495,880
BORA_crRNA1051:1438-1464_T13_0.9889_0.768880971724878,475,641,476,623,323,565
BORA_crRNA1052:1439-1465_T14_0.9884_0.767850207404892,457,723,488,561,370,778
BORA_crRNA1053:1440-1466_T19_0.9829_0.762604035420779,529,886,456,648,306,681
BORA_crRNA1304:1715-1741_B19_0.00905_0.512862963418977,657,860,566,859,367,677
BORA_crRNA1312:1723-1749_T17_0.9844_0.764541031259225,438,592,405,468,220,525
BTG2_crRNA0070:70-96_T2_0.9926_0.778930747522618,588,839,556,888,491,829
BTG2_crRNA0073:73-99_T7_0.9825_0.766834226765992,802,919,668,957,523,805
BTG2_crRNA0091:91-117_B3_0.001063_0.362535228652829,967,1300,774,1045,709,935
BTG2_crRNA0114:114-140_B25_0.01541_0.407813187606002,766,1249,737,927,455,784
BTG2_crRNA0117:117-143_B1_0_0.276457525462797,759,1003,618,856,561,1033
BTG2_crRNA0120:120-146_B31_0.02072_0.416367044838381,656,1008,551,739,364,1256
BTG2_crRNA0121:121-147_B11_0.005845_0.387919811888453,761,1035,559,724,510,593
BTG2_crRNA0125:125-151_B13_0.006908_0.393350116329569,590,721,539,663,363,569
BTG2_crRNA0126:126-152_B21_0.01328_0.407264056788507,459,685,431,483,558,962
BTG2_crRNA0130:130-156_B39_0.02497_0.41876517234489,875,1433,733,1149,746,1037
BTG2_crRNA0133:133-159_B37_0.02391_0.418405207599541,868,1206,744,934,590,1009
BTG2_crRNA0159:159-185_T17_0.923_0.736838928984109,627,903,552,735,535,971
BTG2_crRNA0164:164-190_T13_0.9485_0.747666862219219,581,772,383,611,242,545
