Input_R1,Input_R2,D7_R1,D7_R2,D14_R1,D14_R2
SPC25_crRNA533:699-725_B8_0.01321_0.49998057657405,390,666,373,513,378,437
SPC25_crRNA534:700-726_B10_0.02041_0.51961886093781,545,906,447,651,520,656
SPC25_crRNA535:701-727_B2_0.0012_0.42672357357013,667,777,626,803,494,517
SPC25_crRNA536:702-728_B3_0.002401_0.443469155736309,682,919,563,853,380,769
SPC25_crRNA537:703-729_B4_0.004802_0.471763266190382,687,813,548,860,584,699
SPC25_crRNA538:704-730_B18_0.03721_0.53769921322674,623,911,582,669,510,697
SPC25_crRNA539:705-731_B17_0.03001_0.53301470503331,783,861,651,813,1275,777
ST6GALNAC4_crRNA0189:258-284_T2_0.9986_0.821806259996063,909,1103,720,1110,574,1721
ST6GALNAC4_crRNA0194:263-289_T19_0.9802_0.782108627844852,644,841,513,810,405,655
ST6GALNAC4_crRNA0280:349-375_B34_0.03678_0.384932236438974,759,1134,764,1006,724,934
ST6GALNAC4_crRNA0282:351-377_B43_0.04597_0.395265211801118,1092,1654,1089,1622,1065,3462
ST6GALNAC4_crRNA0287:356-382_B31_0.03324_0.371328176949171,880,1105,727,1096,1269,1017
ST6GALNAC4_crRNA0293:362-388_B52_0.05446_0.402644588088278,994,1233,863,1190,684,859
ST6GALNAC4_crRNA0301:370-396_B22_0.02405_0.359212018965405,657,1127,617,927,449,855
ST6GALNAC4_crRNA0371:440-466_T1_0.9993_0.837991091320062,570,877,443,726,408,766
ST6GALNAC4_crRNA0376:445-471_T14_0.9851_0.78461681897428,632,731,493,673,343,510
ST6GALNAC4_crRNA0377:446-472_T15_0.9844_0.78461681897428,745,1032,623,830,510,649
ST6GALNAC4_crRNA0380:449-475_T6_0.9936_0.798879041942209,606,865,539,868,692,896
ST6GALNAC4_crRNA0381:450-476_T8_0.9901_0.789723103012896,512,649,496,559,333,401
ST6GALNAC4_crRNA0382:451-477_T13_0.9859_0.785714215355149,554,750,466,732,355,670
ST6GALNAC4_crRNA0478:547-573_T11_0.9873_0.786290154040247,838,1065,691,1063,775,798
ST6GALNAC4_crRNA0479:548-574_T12_0.9866_0.786290154040247,961,1145,731,1021,461,780
ST6GALNAC4_crRNA0480:549-575_T20_0.9788_0.779979182910732,840,1029,683,1032,472,790
ST6GALNAC4_crRNA0481:550-576_T16_0.9837_0.784509839175339,845,1095,713,996,418,888
ST6GALNAC4_crRNA0565:634-660_B49_0.05092_0.398926376262881,643,818,403,670,309,1379
ST6GALNAC4_crRNA0640:709-735_T17_0.983_0.783596676094884,649,678,511,660,565,619
ST6GALNAC4_crRNA0681:750-776_B37_0.04173_0.39135691074748,718,918,563,834,381,567
ST6GALNAC4_crRNA0685:754-780_B10_0.01344_0.346376577078338,975,1334,790,1059,483,1098
ST6GALNAC4_crRNA0687:756-782_B1_0.002122_0.329071703549749,1069,1469,864,1371,554,1199
ST6GALNAC4_crRNA0690:759-785_B4_0.008487_0.338115326079164,1185,1511,987,1531,777,1547
ST6GALNAC4_crRNA0699:768-794_B55_0.05799_0.405919969210861,1115,1467,840,1246,614,1103
ST6GALNAC4_crRNA0719:788-814_B58_0.06082_0.408636450797344,916,1091,847,1013,681,823
ST6GALNAC4_crRNA0800:869-895_T18_0.9823_0.783297181484999,642,831,509,769,449,674
ST6GALNAC4_crRNA0801:870-896_T7_0.9929_0.794476183054451,793,901,606,876,744,930
ST6GALNAC4_crRNA0803:872-898_T5_0.9943_0.804691930180865,685,990,480,626,294,938
ST6GALNAC4_crRNA0825:894-920_B40_0.04385_0.393147414745275,861,1112,636,927,557,1053
ST6GALNAC4_crRNA0826:895-921_B46_0.0488_0.398203923832803,789,1106,602,929,510,989
ST6GALNAC4_crRNA0894:963-989_T3_0.9972_0.809953115528752,563,814,439,616,218,429
ST6GALNAC4_crRNA0895:964-990_T4_0.995_0.807370123685914,598,897,577,646,391,637
ST6GALNAC4_crRNA0905:974-1000_T10_0.9887_0.78850037074081,684,919,614,809,342,618
ST6GALNAC4_crRNA0953:1022-1048_T9_0.9894_0.788708372059031,353,592,316,598,216,543
ST6GALNAC4_crRNA1010:1079-1105_B25_0.02687_0.363124502436007,537,841,640,819,453,642
ST6GALNAC4_crRNA1011:1080-1106_B19_0.02122_0.355771727071457,875,1331,845,1164,588,1218
ST6GALNAC4_crRNA1059:1128-1154_B28_0.029_0.363709407087766,631,850,633,692,473,763
ST6GALNAC4_crRNA1061:1130-1156_B7_0.01132_0.344861181525405,784,1129,847,1047,1965,1067
ST6GALNAC4_crRNA1083:1152-1178_B13_0.01556_0.351300130698022,783,915,652,809,689,613
ST6GALNAC4_crRNA1084:1153-1179_B16_0.01768_0.354322987398963,839,1146,655,851,584,829
SUPT6H_crRNA0773:1017-1043_T20_0.9949_0.793372870434715,589,798,591,908,665,1028
SUPT6H_crRNA1142:1469-1495_T7_0.9981_0.808761327613948,499,681,665,762,629,814
SUPT6H_crRNA1143:1470-1496_T12_0.9969_0.801065977800853,550,715,535,978,588,1802
SUPT6H_crRNA1144:1471-1497_T8_0.9979_0.808728526856201,517,643,493,738,423,783
SUPT6H_crRNA1145:1472-1498_T9_0.9977_0.808728526856201,507,658,534,782,499,813
SUPT6H_crRNA1623:2020-2046_T10_0.9974_0.80524931142909,438,610,275,411,228,334
SUPT6H_crRNA1624:2021-2047_T3_0.9991_0.815241318619521,413,457,310,338,163,285
SUPT6H_crRNA1625:2022-2048_T19_0.9953_0.794380257441201,470,594,276,489,308,455
SUPT6H_crRNA1903:2366-2392_T14_0.9963_0.799412610414922,619,738,734,906,699,816
SUPT6H_crRNA2163:2626-2652_B55_0.01206_0.408863655302114,471,726,366,596,332,573
SUPT6H_crRNA2531:3018-3044_B25_0.006641_0.386678721415499,744,1040,695,828,582,652
SUPT6H_crRNA2540:3027-3053_B22_0.006117_0.384755601024129,659,893,437,704,288,1029
SUPT6H_crRNA2542:3029-3055_B13_0.004369_0.374000698654575,751,970,610,755,444,704
SUPT6H_crRNA2636:3123-3149_T2_0.9995_0.81840826002474,668,819,596,836,463,978
SUPT6H_crRNA2723:3210-3236_B52_0.01153_0.407957818150285,612,841,507,690,333,748
SUPT6H_crRNA2756:3243-3269_T17_0.9958_0.796281695235287,602,742,463,670,467,516
SUPT6H_crRNA2949:3459-3485_T11_0.997_0.80276386964712,447,664,472,642,420,747
SUPT6H_crRNA3124:3634-3660_B31_0.00769_0.396598059711099,459,706,469,732,454,880
SUPT6H_crRNA3139:3649-3675_T13_0.9967_0.80022975161653,474,712,512,858,443,786
SUPT6H_crRNA3179:3689-3715_B34_0.008214_0.398077918112987,818,1211,835,1010,781,770
SUPT6H_crRNA3180:3690-3716_B10_0.003495_0.363220971288615,632,983,628,782,409,876
SUPT6H_crRNA3182:3692-3718_B49_0.01084_0.407023669737777,671,916,582,916,391,886
SUPT6H_crRNA3305:3815-3841_T1_0.9998_0.837223564278433,376,465,93,165,77,90
SUPT6H_crRNA3309:3819-3845_T18_0.9955_0.795619261826598,543,719,656,882,606,1173
SUPT6H_crRNA3332:3842-3868_T6_0.9983_0.809953115528752,587,847,604,899,533,1104
SUPT6H_crRNA3627:4137-4163_T4_0.999_0.813151992634111,572,510,290,362,209,341
SUPT6H_crRNA3628:4138-4164_T5_0.9988_0.813151992634111,439,470,236,342,212,257
SUPT6H_crRNA4379:4889-4915_B40_0.009262_0.401240690757894,200,321,103,195,99,164
SUPT6H_crRNA4414:4924-4950_B19_0.005592_0.38060980792368,594,846,475,689,387,744
SUPT6H_crRNA4416:4926-4952_B43_0.009787_0.404192744308291,641,892,570,816,351,834
SUPT6H_crRNA4461:4971-4997_T15_0.9962_0.798965851498432,777,945,677,954,1028,742
SUPT6H_crRNA4462:4972-4998_T16_0.996_0.798965851498432,328,398,75,84,41,74
SUPT6H_crRNA4602:5112-5138_B46_0.01031_0.404744862666022,590,837,658,1026,715,1971
SUPT6H_crRNA4764:5274-5300_B28_0.007165_0.390532892794722,698,774,532,765,342,710
SUPT6H_crRNA4831:5410-5436_B37_0.008738_0.400036672622229,684,829,664,782,453,592
SUPT6H_crRNA4841:5420-5446_B1_0_0.258994428199269,659,827,695,1005,643,2270
SUPT6H_crRNA4842:5421-5447_B16_0.005068_0.378369687698066,501,848,544,932,546,846
SUPT6H_crRNA4843:5422-5448_B4_0.001049_0.321023660961297,685,867,810,908,682,968
SUPT6H_crRNA4844:5423-5449_B7_0.002447_0.338172124964387,671,1067,766,1274,624,1542
SUPT6H_crRNA4845:5424-5450_B58_0.01293_0.409783592152227,640,932,674,828,790,859
SYMPK_crRNA0641:689-715_T5_0.9986_0.809012707382505,617,683,448,623,347,401
SYMPK_crRNA0737:808-834_B40_0.01242_0.366510745749163,701,966,644,896,543,685
SYMPK_crRNA1519:1659-1685_T13_0.9961_0.7986641760234,535,791,485,605,375,556
SYMPK_crRNA1574:1714-1740_B16_0.004417_0.30662959906877,920,1208,931,1039,891,942
SYMPK_crRNA1577:1717-1743_B10_0.002485_0.289202514371181,804,1270,735,1087,549,789
SYMPK_crRNA1579:1719-1745_B43_0.01325_0.371075944033917,814,1284,676,921,556,761
SYMPK_crRNA1661:1825-1851_B31_0.009663_0.352637958376805,777,932,744,901,1141,692
SYMPK_crRNA1725:1913-1939_T18_0.9948_0.789827517841388,735,1003,537,796,533,1188
SYMPK_crRNA1728:1916-1942_T20_0.9942_0.789166671845718,832,1150,755,1032,426,795
SYMPK_crRNA2217:2405-2431_T14_0.9959_0.795275486605127,696,922,551,841,612,1012
SYMPK_crRNA2219:2407-2433_T12_0.9967_0.800570196611545,698,884,650,791,555,618
SYMPK_crRNA2221:2409-2435_T3_0.9992_0.817028712085367,623,654,559,711,607,675
SYMPK_crRNA2331:2519-2545_B34_0.01077_0.360507715413,495,802,544,775,452,679
SYMPK_crRNA2395:2583-2609_T9_0.9975_0.804691930180865,658,817,461,650,307,623
SYMPK_crRNA2437:2625-2651_B25_0.007178_0.338366633075883,612,751,570,778,420,622
SYMPK_crRNA2438:2626-2652_B19_0.005246_0.30829536070945,656,816,487,770,363,709
SYMPK_crRNA2439:2627-2653_B1_0_0.258870881638732,606,769,598,663,1423,485
SYMPK_crRNA2443:2631-2657_B58_0.01795_0.384123840310945,537,811,496,650,501,507
SYMPK_crRNA2534:2722-2748_T19_0.9945_0.789442130497464,699,930,506,758,375,778
SYMPK_crRNA2601:2789-2815_T10_0.9972_0.804560168526967,784,800,511,688,510,578
SYMPK_crRNA2673:2861-2887_T1_0.9997_0.829940409805228,387,496,281,448,246,518
SYMPK_crRNA2748:2936-2962_T8_0.9978_0.805384062711819,759,855,572,920,456,811
SYMPK_crRNA2969:3157-3183_T4_0.9989_0.816961030856357,477,594,366,385,198,398
SYMPK_crRNA3003:3191-3217_T7_0.9981_0.806641684557436,775,1034,705,887,851,778
SYMPK_crRNA3004:3192-3218_T15_0.9956_0.793372870434715,860,1126,637,956,434,1577
SYMPK_crRNA3005:3193-3219_T16_0.9953_0.793372870434715,909,1111,675,868,669,700
SYMPK_crRNA3077:3321-3347_T6_0.9983_0.80755235014285,507,789,432,729,351,1329
SYMPK_crRNA3079:3323-3349_T2_0.9994_0.822698506388701,590,834,535,753,553,825
SYMPK_crRNA3145:3389-3415_B55_0.01684_0.380530957057959,731,1127,700,949,476,843
SYMPK_crRNA3202:3446-3472_B37_0.0116_0.364129491490675,767,956,669,933,413,827
SYMPK_crRNA3335:3603-3629_B46_0.01408_0.375916996703954,635,894,620,893,533,787
SYMPK_crRNA3336:3604-3630_B22_0.006074_0.328035178254104,504,853,497,817,428,721
SYMPK_crRNA3338:3606-3632_B13_0.003313_0.291154818062552,722,1220,670,1048,517,872
SYMPK_crRNA3340:3608-3634_B28_0.008559_0.340161086994117,628,1089,611,983,445,826
SYMPK_crRNA3351:3619-3645_B7_0.001657_0.276170743769666,554,985,653,876,411,1074
SYMPK_crRNA3354:3622-3648_B4_0.0008283_0.276170743769666,150,237,152,185,126,158
SYMPK_crRNA3424:3715-3741_T17_0.995_0.791991625446216,387,600,299,461,224,419
SYMPK_crRNA3430:3759-3785_B49_0.01518_0.377157630044165,610,891,638,884,511,462
SYMPK_crRNA3438:3767-3793_B52_0.01601_0.378731280246847,950,1405,921,1077,774,708
SYMPK_crRNA3445:3797-3823_T11_0.997_0.802789764452702,605,729,501,706,342,627
TACO1_crRNA0184:203-229_T14_0.9842_0.767952131100002,1230,1515,948,1276,896,1250
TACO1_crRNA0185:204-230_T15_0.9834_0.767952131100002,1226,1456,1104,1439,849,1214
TACO1_crRNA0198:217-243_B33_0.0443_0.428966373109805,698,870,474,790,436,827
TACO1_crRNA0203:222-248_B21_0.02453_0.379085168805851,843,1012,682,934,460,848
TACO1_crRNA0205:224-250_B23_0.02927_0.404070867063728,1113,1367,830,1145,756,1014
TACO1_crRNA0219:238-264_B27_0.03639_0.419805942715919,828,1051,740,874,581,1081
TACO1_crRNA0267:309-335_B11_0.01345_0.345436393634423,115,199,126,205,82,136
TACO1_crRNA0283:325-351_B31_0.04114_0.42689533715544,764,1146,681,1057,564,1276
TACO1_crRNA0285:327-353_B35_0.04589_0.428979113251133,728,945,650,939,485,706
TACO1_crRNA0286:328-354_B39_0.05063_0.431337656254087,919,1396,754,1229,554,1180
TACO1_crRNA0287:329-355_B25_0.03244_0.408217326111399,1153,1635,1098,1347,1116,1604
TACO1_crRNA0297:339-365_B29_0.03797_0.421906566341603,911,1322,854,1109,434,978
TACO1_crRNA0298:340-366_B13_0.01741_0.362300541207258,1141,1354,868,1218,814,891
TACO1_crRNA0319:361-387_B9_0.007911_0.3274735100751,898,1240,807,1195,694,839
TACO1_crRNA0323:365-391_B37_0.04905_0.430999666618217,661,1150,729,861,706,748
TACO1_crRNA0325:367-393_B17_0.02136_0.374059343982076,743,1201,764,970,466,1007
TACO1_crRNA0329:371-397_B1_0_0.276410336656241,912,1423,911,1226,1185,1352
TACO1_crRNA0330:372-398_B5_0.003165_0.289202514371181,1082,1285,951,1147,840,1610
TACO1_crRNA0331:373-399_B3_0.001582_0.285448768754509,946,1120,828,1045,782,863
TACO1_crRNA0333:375-401_B7_0.004747_0.303375351617436,870,1206,612,820,439,846
TACO1_crRNA0364:406-432_T17_0.9802_0.764875917365907,653,949,503,757,486,745
TACO1_crRNA0382:424-450_T19_0.9778_0.764099877809961,746,765,627,989,500,594
TACO1_crRNA0568:610-636_T4_0.9968_0.786440643966531,439,731,388,483,685,501
TACO1_crRNA0571:613-639_T13_0.985_0.768171469763678,693,808,616,760,1132,1065
TACO1_crRNA0686:728-754_T12_0.9858_0.768571106549527,397,574,412,559,316,448
TACO1_crRNA0750:828-854_T2_0.9984_0.798197870812566,505,728,584,730,2027,1481
TACO1_crRNA0751:829-855_T1_0.9992_0.808728526856201,590,824,424,619,356,699
TACO1_crRNA0752:830-856_T6_0.9921_0.774900521585029,624,829,472,787,681,832
TACO1_crRNA0754:832-858_T3_0.9976_0.793084798736355,671,858,570,804,317,618
TACO1_crRNA0755:833-859_T7_0.9913_0.773961059334771,515,689,483,512,299,654
TACO1_crRNA0756:834-860_T8_0.9905_0.773961059334771,640,903,526,797,398,1102
TACO1_crRNA0757:835-861_T9_0.9897_0.773961059334771,616,923,621,732,435,881
TACO1_crRNA0759:837-863_T5_0.996_0.786440643966531,640,899,583,896,535,723
TACO1_crRNA0760:838-864_T16_0.981_0.766127477523239,659,977,572,727,581,725
TACO1_crRNA0761:839-865_T11_0.9873_0.771233532704013,827,1000,709,891,651,911
TACO1_crRNA0767:845-871_T10_0.9889_0.77311315066211,695,1087,652,1051,436,1261
TACO1_crRNA0822:925-951_T18_0.9794_0.76474611660628,462,681,467,627,546,553
TACO1_crRNA0823:926-952_T20_0.9763_0.763215278074904,650,1048,611,799,415,907
TBC1D24_crRNA0229:252-278_B46_0.02604_0.371786552298877,1030,938,813,943,605,800
TBC1D24_crRNA0302:325-351_B7_0.004239_0.310767500423229,737,963,547,754,483,551
TBC1D24_crRNA0303:326-352_B31_0.01655_0.354701241399962,886,1030,788,818,432,666
TBC1D24_crRNA0304:327-353_B43_0.02402_0.369927486051789,902,1181,718,1100,574,869
TBC1D24_crRNA0305:328-354_B16_0.008074_0.329671953395393,621,876,569,664,390,575
TBC1D24_crRNA0306:329-355_B37_0.01958_0.362625269478496,910,1191,850,1025,674,1463
TBC1D24_crRNA0316:339-365_B34_0.01817_0.360936017585922,749,969,643,880,433,817
TBC1D24_crRNA0327:350-376_T16_0.9931_0.779461795401037,565,728,496,652,304,830
TBC1D24_crRNA0335:358-384_T19_0.9907_0.776622328478482,549,611,526,656,427,617
TBC1D24_crRNA0338:361-387_T15_0.9937_0.78023970376281,578,734,569,621,788,478
TBC1D24_crRNA0339:362-388_T14_0.9945_0.784594595228818,618,665,440,652,355,483
TBC1D24_crRNA0475:521-547_B13_0.007065_0.32400283813171,893,1157,808,1137,510,1101
TBC1D24_crRNA0478:524-550_B1_0.0002019_0.24335467772854,892,1344,757,1342,563,1137
TBC1D24_crRNA0479:525-551_B4_0.002019_0.296591762128191,855,1063,716,1083,588,953
TBC1D24_crRNA0481:527-553_B10_0.00545_0.315841240557503,945,1443,820,1386,486,1291
TBC1D24_crRNA0503:549-575_B25_0.01352_0.349271176012689,819,1083,594,806,460,573
TBC1D24_crRNA0585:631-657_T8_0.998_0.796263137726249,739,1000,621,757,822,1025
TBC1D24_crRNA0637:683-709_T11_0.9956_0.789303376925468,645,747,458,690,358,619
TBC1D24_crRNA0684:730-756_T18_0.9915_0.777703123631578,968,1083,670,968,615,641
TBC1D24_crRNA0777:823-849_T2_0.9996_0.816961030856357,689,980,498,832,446,872
TBC1D24_crRNA0778:824-850_T3_0.9994_0.813624462360276,566,788,429,616,211,511
TBC1D24_crRNA0782:828-854_T7_0.9982_0.802789764452702,533,841,485,810,321,813
TBC1D24_crRNA0872:918-944_T5_0.9988_0.808761327613948,637,1012,554,648,429,568
TBC1D24_crRNA0873:919-945_T6_0.9986_0.807384132781741,822,1030,605,981,413,1857
TBC1D24_crRNA0874:920-946_T13_0.995_0.787885625073701,617,820,580,664,732,558
TBC1D24_crRNA0906:952-978_T17_0.9925_0.778685371295721,403,637,328,528,275,429
TBC1D24_crRNA0908:954-980_T1_0.9998_0.835166442916975,557,676,378,510,323,385
TBC1D24_crRNA0909:955-981_T9_0.997_0.79199036050674,712,984,632,771,440,566
TBC1D24_crRNA1010:1056-1082_T4_0.999_0.809437213648167,657,824,625,801,389,737
TBC1D24_crRNA1041:1087-1113_T20_0.9905_0.776375849038231,623,906,625,680,541,652
TBC1D24_crRNA1077:1123-1149_B28_0.01413_0.35022328274981,578,807,496,696,487,841
TBC1D24_crRNA1106:1152-1178_T12_0.9952_0.787953347646098,582,926,522,665,342,903
TBC1D24_crRNA1428:1497-1523_B52_0.02927_0.377572378857231,940,1170,817,1152,585,1538
TBC1D24_crRNA1484:1553-1579_B40_0.02261_0.36663204745647,924,1281,820,954,776,838
TBC1D24_crRNA1488:1557-1583_B19_0.0105_0.342193406298801,933,1205,767,956,512,711
TBC1D24_crRNA1494:1563-1589_B22_0.01171_0.34379472558193,700,1012,542,935,361,1582
TBC1D24_crRNA1555:1671-1697_T10_0.9958_0.789505145017962,663,795,517,601,418,1145
TBC1D24_crRNA1599:1715-1741_B55_0.03068_0.381534131711959,589,786,479,635,329,428
TBC1D24_crRNA1655:1771-1797_B49_0.02806_0.375144316662468,642,854,584,679,1424,661
TBC1D24_crRNA1657:1773-1799_B58_0.03169_0.382920864372107,604,823,551,830,502,723
TCTA_crRNA0200:224-250_T5_0.9818_0.775385232860868,1023,1561,869,1215,553,1439
TCTA_crRNA0202:226-252_T8_0.9625_0.762842328291826,1135,1458,850,1467,852,1844
TCTA_crRNA0212:236-262_B3_0.009659_0.406560649592759,669,759,515,793,375,694
TCTA_crRNA0213:237-263_B7_0.025_0.43941365024753,553,760,457,719,317,520
TCTA_crRNA0214:238-264_B11_0.04659_0.461028863458723,800,909,574,829,578,893
TCTA_crRNA0215:239-265_B13_0.07443_0.486696094778909,1049,1233,859,1209,1600,859
TCTA_crRNA0217:241-267_B5_0.01648_0.414710513646756,871,1070,767,1019,752,1027
TCTA_crRNA0219:243-269_B1_0.006818_0.3946688800602,861,1102,730,980,493,789
TCTA_crRNA0257:281-307_T17_0.9301_0.749206331439109,434,662,492,618,418,682
TCTA_crRNA0258:282-308_T18_0.9295_0.749206331439109,376,535,300,502,284,806
TCTA_crRNA0261:285-311_T19_0.9227_0.746511083289091,344,414,299,430,166,295
TCTA_crRNA0262:286-312_T20_0.9222_0.746511083289091,345,434,273,358,177,215
TCTA_crRNA0266:290-316_T2_0.9875_0.77975987594897,566,722,473,728,344,753
TCTA_crRNA0267:291-317_T3_0.9869_0.77975987594897,559,734,549,785,369,809
TCTA_crRNA0273:297-323_T4_0.9864_0.77975987594897,784,913,594,960,595,1565
TCTA_crRNA0274:298-324_T10_0.9574_0.759999458265931,885,1153,709,946,759,871
TCTA_crRNA0275:299-325_T7_0.9688_0.765370725242917,986,1188,823,1006,585,1333
TCTA_crRNA0309:333-359_T9_0.9614_0.76228681177631,747,970,633,1027,625,814
TCTA_crRNA0339:363-389_B39_0.2648_0.56839458549195,541,755,570,696,434,609
TCTA_crRNA0346:393-419_T12_0.9426_0.751449170678833,385,485,318,487,437,719
TCTA_crRNA0347:394-420_T13_0.942_0.751449170678833,468,724,478,761,297,1111
TCTA_crRNA0348:395-421_T14_0.9415_0.751449170678833,528,790,405,611,363,852
TCTA_crRNA0350:397-423_T15_0.9409_0.751449170678833,525,688,373,691,345,544
TCTA_crRNA0356:403-429_B29_0.175_0.538392014264653,427,676,393,626,390,933
TCTA_crRNA0358:405-431_B31_0.183_0.541136966751089,473,848,430,676,349,501
TCTA_crRNA0365:412-438_B27_0.1557_0.531971936733891,540,648,500,747,343,885
TCTA_crRNA0372:419-445_T11_0.9534_0.756205994528451,431,689,373,531,219,466
TCTA_crRNA0383:430-456_T16_0.9358_0.750544992394685,528,732,405,640,439,404
TCTA_crRNA0384:431-457_T6_0.9744_0.771287132416075,396,630,287,463,166,1389
TCTA_crRNA0386:433-459_T1_0.9955_0.807693178214424,414,630,396,500,285,411
TCTA_crRNA0399:446-472_B37_0.25_0.564704356199121,876,1207,789,977,475,985
TCTA_crRNA0401:448-474_B21_0.1125_0.511490941824053,711,978,624,794,316,606
TCTA_crRNA0402:449-475_B35_0.1989_0.547898229104661,729,856,641,849,469,974
TCTA_crRNA0404:451-477_B25_0.15_0.5301164151336,849,1391,784,1016,964,825
TCTA_crRNA0423:470-496_B33_0.1955_0.546301284881842,413,624,384,542,283,427
TCTA_crRNA0426:473-499_B15_0.0858_0.493690445989276,474,612,343,551,281,522
TCTA_crRNA0427:474-500_B19_0.09943_0.50409693389117,407,596,393,505,274,438
TCTA_crRNA0429:476-502_B17_0.09205_0.498999943904061,495,850,556,612,336,325
TCTA_crRNA0430:477-503_B23_0.1312_0.521785282995627,515,757,401,672,339,641
TCTA_crRNA0457:504-530_B9_0.04545_0.46100190442951,323,638,336,587,284,482
TMEM184B_crRNA0190:229-255_B28_0.05693_0.397171106323639,901,976,640,930,529,1026
TMEM184B_crRNA0191:230-256_B43_0.06515_0.404755006627034,1144,1621,981,1487,911,1314
TMEM184B_crRNA0208:247-273_B4_0.03225_0.362805212625763,822,1110,762,1005,1023,1045
TMEM184B_crRNA0244:283-309_B34_0.05989_0.39921136324754,919,1146,860,994,552,893
TMEM184B_crRNA0245:284-310_B25_0.05298_0.394527868485442,1011,1443,874,1233,682,1000
TMEM184B_crRNA0248:287-313_B52_0.07075_0.409192733720209,656,1113,702,912,577,768
TMEM184B_crRNA0253:292-318_B58_0.07667_0.41261034902892,1031,1490,858,1141,664,815
TMEM184B_crRNA0313:352-378_T18_0.973_0.759862046886447,536,631,362,599,205,594
TMEM184B_crRNA0376:415-441_B49_0.06877_0.407312312186708,603,753,537,713,485,636
TMEM184B_crRNA0410:449-475_T20_0.9694_0.752738488024426,745,1055,551,993,398,709
TMEM184B_crRNA0551:590-616_T2_0.9977_0.795788306119725,510,743,416,602,281,332
TMEM184B_crRNA0557:596-622_T1_0.999_0.819637483123226,579,763,478,754,354,560
TMEM184B_crRNA0558:597-623_T17_0.9733_0.760059646802775,455,688,469,729,628,1507
TMEM184B_crRNA0724:763-789_T19_0.9717_0.758013436076833,831,972,663,887,470,609
TMEM184B_crRNA0765:804-830_T15_0.976_0.761430078836382,460,655,420,673,295,565
TMEM184B_crRNA0766:805-831_T16_0.9747_0.760978524291213,483,713,513,597,279,493
TMEM184B_crRNA0767:806-832_T7_0.9882_0.776375849038231,603,936,614,777,505,1101
TMEM184B_crRNA0965:1004-1030_T11_0.9868_0.775010788326759,727,896,624,888,507,864
TMEM184B_crRNA0969:1008-1034_T5_0.9961_0.787627694839582,721,988,619,817,682,651
TMEM184B_crRNA0970:1009-1035_T6_0.9934_0.779467116909123,625,979,454,731,367,1022
TMEM184B_crRNA0971:1010-1036_T9_0.9875_0.775393266507272,697,831,623,855,817,1036
TMEM184B_crRNA1063:1102-1128_T8_0.9878_0.776316582490535,490,756,496,660,312,445
TMEM184B_crRNA1121:1160-1186_T4_0.9964_0.78850037074081,801,993,603,811,830,694
TMEM184B_crRNA1122:1161-1187_T10_0.9872_0.775288067963466,696,1081,590,953,685,680
TMEM184B_crRNA1129:1168-1194_T14_0.9766_0.76223986447315,837,1095,675,991,647,1077
TMEM184B_crRNA1130:1169-1195_T13_0.9803_0.766528473734774,787,964,663,947,481,1448
TMEM184B_crRNA1135:1174-1200_T12_0.9852_0.772755580818486,813,1135,666,935,826,1094
TMEM184B_crRNA1177:1239-1265_B31_0.0589_0.398623176731376,520,612,386,610,270,826
TMEM184B_crRNA1276:1338-1364_B22_0.051_0.39326022331826,1155,1599,924,1414,686,1730
TMEM184B_crRNA1277:1339-1365_B55_0.07371_0.410419902778167,1383,2023,1147,1805,1157,1585
TMEM184B_crRNA1278:1340-1366_B40_0.06285_0.402644588088278,1041,1466,1002,1418,1182,1897
TMEM184B_crRNA1283:1345-1371_B16_0.04409_0.383030501482715,867,1112,631,1045,484,921
TMEM184B_crRNA1285:1347-1373_B46_0.06647_0.405804504174612,827,1156,782,955,481,935
TMEM184B_crRNA1286:1348-1374_B10_0.03685_0.370565805748298,782,1147,712,958,561,1376
TMEM184B_crRNA1287:1349-1375_B19_0.0464_0.386990064036009,815,897,647,767,499,671
TMEM184B_crRNA1295:1357-1383_B37_0.06088_0.399534107236922,715,761,636,812,674,616
TMEM184B_crRNA1296:1358-1384_B7_0.03488_0.36877335825287,773,1093,758,796,666,682
TMEM184B_crRNA1297:1359-1385_B1_0.007239_0.301053935238784,737,1026,620,948,403,715
TMEM184B_crRNA1298:1360-1386_B13_0.03784_0.373435265337833,623,1002,531,708,343,601
TMEM184B_crRNA1312:1374-1400_T3_0.9974_0.791828352278161,668,764,441,681,375,568
TMEM246_crRNA0306:341-367_B25_0.025_0.4391310927162,597,873,506,746,350,488
TMEM246_crRNA0372:407-433_T9_0.997_0.781498934161344,628,734,542,753,331,619
TMEM246_crRNA0373:408-434_T20_0.9916_0.764885459391435,711,1039,549,881,382,990
TMEM246_crRNA0457:516-542_T1_0.9997_0.813151992634111,276,306,193,317,139,246
TMEM246_crRNA0458:517-543_T2_0.9994_0.809953115528752,279,444,246,432,249,359
TMEM246_crRNA0459:518-544_T4_0.9985_0.792777989615774,285,353,302,398,177,658
TMEM246_crRNA0479:562-588_B33_0.03042_0.451581285756099,598,940,560,831,343,1668
TMEM246_crRNA0481:564-590_B27_0.02651_0.444483163986439,583,742,518,681,404,476
TMEM246_crRNA0490:573-599_B31_0.02952_0.449768487599405,471,761,445,519,390,752
TMEM246_crRNA0623:753-779_T19_0.9925_0.766179889533889,747,975,637,870,471,594
