"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
94,38,119,172,16,-2.674
113,50,134,122,15,-0.292
37,26,80,25,1,-1.607
81,18,109,64,47,-0.498
79,103,35,103,4,-0.035
118,122,146,111,69,0.255
40,11,47,30,16,-0.288
138,40,70,55,39,-0.073
15,22,42,10,10,-0.848
2,71,28,16,30,-0.115
165,174,65,201,29,-0.454
22,3,17,8,10,0.168
53,48,27,56,8,-1.129
45,45,41,47,23,0.118
19,6,4,14,3,-1.108
75,61,14,75,5,-1.076
64,55,30,64,27,-0.595
30,36,25,23,18,-0.141
1,1,1,1,4,-0.899
103,21,103,86,5,-1.628
41,7,41,61,123,-1.057
3,34,3,34,15,-0.885
116,28,116,145,13,-1.308
134,98,134,65,3,-1.994
54,63,54,16,11,-0.899
7,36,7,3,20,-0.466
81,45,33,58,7,-1.469
39,26,24,73,46,-1.16
7,5,9,4,1,-3.054
74,94,17,75,10,-1.304
126,177,90,139,50,-1.757
177,138,184,171,44,-0.533
76,95,5,86,3,-1.625
163,172,55,154,48,-0.723
113,39,41,107,63,-2.874
78,29,21,102,22,-1.734
43,35,4,43,2,-2.194
42,34,8,35,6,-2.457
30,30,16,12,15,-2.11
23,1,6,4,3,-3.354
32,31,1,25,8,-1.094
10,16,3,10,14,-0.095
8,14,12,5,1,-1.051
39,29,7,38,2,-0.602
7,15,10,11,1,-2.859
22,6,1,15,29,-2.995
21,20,5,19,12,-0.306
23,32,16,22,17,-2.011
34,27,28,30,13,-0.275
31,6,1,25,1,-2.793
90,111,3,84,5,-1.069
39,62,36,13,19,0.298
20,37,49,2,8,-0.174
26,7,48,35,3,-0.985
7,46,25,11,20,-0.58
99,88,7,78,13,-3.034
28,26,28,132,28,-0.757
3,2,5,10,79,-1.582
85,76,19,80,6,-3.063
14,32,8,1,27,-0.496
90,78,20,90,7,-1.076
31,13,35,24,25,-0.154
10,40,13,6,14,-1.161
69,31,49,13,13,-2.63
64,64,85,27,1,-2.426
55,30,29,49,10,-2.401
28,10,53,34,18,-0.678
141,84,199,103,54,-1.122
42,14,46,122,10,-1.62
81,18,160,37,110,0.109
324,274,340,344,122,-0.334
323,347,54,273,19,-0.993
179,66,20,135,2,-2.439
349,293,53,356,22,-0.715
250,239,278,238,36,-2.167
10,48,74,26,36,0
88,32,66,131,131,0.178
140,120,20,134,20,-3.097
100,91,46,104,18,-0.983
51,20,23,32,16,-0.445
38,4,5,64,93,0.561
57,31,44,57,4,-1.198
15,3,4,49,12,0.098
130,137,52,112,30,-0.101
101,88,27,98,2,-1.61
77,72,28,57,4,-0.889
109,99,79,94,47,0.248
43,15,12,40,1,-1.258
91,101,40,60,15,0.402
