"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
13,19,4,8,5,-0.924
15,8,6,34,42,-0.784
12,56,2,10,26,-1.424
22,3,13,16,34,-1.132
66,37,150,36,47,-1.77
79,2,160,14,32,-0.688
139,144,211,235,304,0.685
69,275,83,103,239,1.003
386,434,421,306,565,-1.022
201,70,262,330,355,0.581
356,70,391,209,139,-0.03
525,243,544,594,95,-0.43
669,825,677,688,229,-0.877
177,47,39,100,101,-2.86
31,287,119,35,444,-2.173
742,641,747,600,202,-1.807
36,8,70,70,13,-3.469
95,35,158,40,162,0.882
3,1,4,1,2,-1.072
252,247,263,175,102,0.591
23,68,42,5,80,-1.042
11,3,108,11,99,-0.64
346,428,75,318,108,-2.067
215,101,30,212,65,-0.7
40,144,133,24,142,-0.617
85,167,162,122,179,0.14
8,115,107,8,156,-0.998
172,268,37,243,130,-0.207
294,81,325,185,87,0.2
98,235,170,35,220,-0.011
64,32,11,98,25,0.881
370,176,92,220,135,0.33
425,377,434,363,203,1.822
4,12,8,3,14,-1.968
7,1,9,8,2,0.897
22,37,18,11,17,0.575
3,6,10,4,15,-4.313
30,35,39,13,20,0.141
104,225,24,24,123,-1.29
158,50,29,64,49,0.294
28,1,45,18,127,-0.114
323,326,63,317,130,-2.969
253,109,54,176,105,-2.482
6,2,98,1,54,-2.776
260,247,73,180,20,-1.337
127,39,180,142,143,-2.67
212,117,238,127,114,0.798
146,44,4,53,19,-1.083
181,56,246,232,127,-0.362
212,28,276,204,4,-2.81
164,36,75,148,80,0.144
154,42,82,106,143,-2.653
618,595,622,500,438,-1.395
260,45,19,259,22,0.094
8,1,106,1,218,0.463
23,91,116,258,135,0.417
77,25,41,74,10,-0.096
164,158,1,88,3,-1.015
61,7,6,118,24,-0.691
50,40,2,50,40,-0.113
118,176,74,258,49,-1.069
138,47,75,31,24,-1.086
100,48,168,414,180,-1.517
58,37,1,35,47,-3.749
135,77,4,172,7,-2.706
121,98,83,96,36,-0.224
39,21,9,45,32,-1.111
14,42,22,1,25,-0.155
13,31,19,20,11,-3.063
107,82,46,84,16,-0.928
19,49,36,77,18,-1.593
36,22,15,30,3,-3.838
35,61,7,6,4,-3.214
50,228,62,56,218,-0.56
74,2,1,27,2,-3.992
371,148,387,322,75,-0.596
87,244,154,127,287,0.462
290,92,319,168,40,-0.641
3,20,19,36,173,0.245
90,42,11,96,42,-1.921
119,52,45,165,12,0.037
66,36,56,70,11,-3.582
16,1,3,2,3,-2.532
39,44,59,43,31,-4.738
25,2,20,39,5,-0.63
62,77,95,12,42,-2.418
98,28,21,73,35,-2.884
132,187,46,225,76,0.838
18,3,12,131,23,0.534
241,243,285,170,68,-0.372
183,206,237,30,99,-3.923
152,93,92,38,91,-1.217
203,225,246,190,246,-0.892
111,178,172,26,310,-0.099
288,95,89,128,22,-0.196
15,112,2,52,64,0.206
39,2,117,34,115,0.475
98,111,151,30,35,-0.561
70,39,57,111,27,-1.051
33,80,114,1,92,0.301
44,83,123,4,69,-2.043
26,13,7,40,23,-1.26
126,110,64,111,1,-2.701
15,11,5,53,16,-1.435
48,40,115,23,51,-0.371
14,1,40,10,17,0.897
4,61,79,20,45,0.897
43,38,135,9,151,-2.081
22,14,118,28,64,-2.476
345,317,59,207,2,-3.766
277,286,320,23,197,-2.725
249,47,296,490,144,-0.243
53,174,34,171,165,-1.614
40,8,40,76,14,-0.938
15,2,2,1,111,-3.753
60,26,45,42,124,-3.109
112,116,143,101,140,-0.268
7,1,10,17,6,0.09
33,10,18,9,19,-1.717
62,88,62,119,151,-0.67
27,22,27,13,21,0.339
131,121,131,143,94,-1.284
48,10,48,47,87,-0.739
165,137,165,160,95,-0.086
25,3,4,69,169,-2.93
52,60,46,81,57,-3.633
30,18,78,55,65,-3.535
120,139,160,84,145,0.042
16,2,25,30,13,-2.754
37,5,115,91,96,-0.898
79,29,25,52,109,-2.77
121,160,22,109,35,-3.699
62,16,70,54,55,-2.916
68,43,87,72,62,-3.453
148,173,164,105,56,-2.764
133,114,73,117,54,-3.642
53,5,36,41,15,-0.07
117,29,50,80,43,-2.791
126,137,170,128,64,-1.579
6,2,16,31,143,-2.06
51,1,3,12,150,-1.172
19,83,106,90,167,-0.818
27,12,43,88,152,-0.367
43,5,12,42,6,-1.863
129,123,78,70,83,-0.928
72,28,46,54,16,-2.975
47,22,45,55,123,-2.207
21,9,95,5,79,-2.975
100,131,18,61,58,-2.808
18,1,16,46,46,0.143
32,4,63,28,101,-0.321
116,141,80,66,37,-3.437
217,184,78,116,176,-0.59
109,144,132,164,65,-0.501
61,27,85,49,73,-0.18
140,109,82,108,29,-0.977
92,32,63,140,28,0.055
629,581,642,530,378,-0.603
506,141,531,617,217,-3.292
319,157,14,299,16,-2.032
249,109,71,292,102,-0.256
845,983,850,775,389,-0.403
155,358,212,400,259,-0.703
77,101,55,65,24,-0.013
87,72,47,69,17,-1.891
92,76,60,88,33,0.125
2,10,20,4,54,-2.993
27,48,75,41,38,-0.591
43,23,11,61,7,-1.84
223,130,263,184,66,-0.663
131,156,198,102,218,0.045
227,82,78,90,35,-0.999
177,64,98,189,124,-1.152
280,145,97,193,74,-3.65
470,400,476,376,413,-0.393
176,78,95,121,172,-1.181
16,3,113,567,287,0.083
205,284,256,237,352,-0.885
472,401,478,247,180,-0.625
216,12,265,163,15,-3.65
74,27,80,38,137,-1.053
122,185,82,112,27,-1.271
95,51,81,84,43,-2.686
45,96,40,82,70,-0.533
117,124,149,167,120,-1.346
9,1,13,9,2,-4.081
7,19,57,14,88,-0.19
74,69,23,31,17,-4.141
4,1,39,12,16,-0.04
106,86,4,32,68,-0.213
94,79,28,88,63,-1.099
86,101,26,96,43,-2.314
126,124,69,109,28,-2.647
5,1,24,5,45,-2.621
117,65,150,88,30,-2.119
30,13,47,21,73,-1.739
1,23,16,52,124,-0.278
34,21,21,3,23,-0.587
11,1,76,1,6,-2.141
8,18,2,8,44,-0.956
198,197,218,164,66,0.319
42,42,27,51,12,-1.704
77,34,22,131,64,-0.403
109,54,52,94,1,-2.038
36,80,92,8,145,-1.691
64,27,130,64,162,-2.85
6,62,57,160,13,-0.746
12,195,108,25,237,-0.772
467,548,473,408,112,-0.443
23,172,116,79,269,0.533
16,2,56,19,46,-2.17
8,194,105,23,157,-0.194
5,3,23,11,37,-0.836
51,20,88,58,39,-0.392
244,202,49,243,12,-1.938
295,227,68,272,49,-1.278
268,303,72,284,66,-1.391
138,246,48,188,70,-2.738
197,181,238,187,111,0.15
93,94,21,158,66,-2.889
58,46,79,17,119,-1.79
209,79,49,101,6,-2.652
5,3,102,14,88,-1.262
37,9,125,5,8,-2.896
75,131,158,119,74,-2.387
148,213,212,93,118,0.14
288,421,322,239,101,-2.226
324,427,58,310,59,-1.914
167,68,78,120,187,-0.206
73,173,12,35,22,-3.85
197,122,250,320,12,-1.475
269,55,32,307,10,-4.219
9,21,58,39,157,-2.221
311,145,346,170,239,-0.425
1788,1663,1790,1635,153,-2.247
1647,2002,1650,1336,525,-0.818
1208,1171,1231,1200,114,-0.932
626,916,37,789,474,-0.114
271,744,338,88,1040,0.54
1069,311,1096,674,439,-0.674
51,78,51,83,41,-3.738
166,76,56,105,3,-3.5
178,93,222,85,169,-0.883
345,340,96,408,236,-3.699
11,14,49,4,84,-1.77
201,74,242,175,1,-4.105
300,298,82,221,70,-3.501
231,265,266,223,155,0.002
290,442,59,275,122,-1.397
165,121,92,109,105,-0.871
463,373,464,427,132,-1.587
252,275,286,315,44,-2.597
18,3,115,28,184,-2.692
157,79,205,163,46,-1.729
57,13,42,31,33,-3.14
30,94,3,32,31,-1.24
251,241,265,230,131,-0.238
45,11,128,84,105,-0.487
350,142,16,326,3,-3.122
129,226,200,42,201,-2.688
411,452,426,391,241,-0.571
208,261,22,197,50,-2.955
146,61,30,108,27,-2.797
428,353,440,395,79,-3.514
370,296,382,305,69,-2.788
202,39,22,193,67,-1.142
227,119,56,127,107,-3.339
112,91,182,164,151,-0.647
249,235,283,205,178,0.061
129,37,62,141,21,-2.583
66,102,82,10,53,-3.761
127,43,174,254,129,-0.719
241,10,61,31,12,-4.553
42,6,120,23,35,1.213
132,203,75,118,59,-1.792
117,83,60,136,149,-1.222
79,118,141,76,61,-0.481
121,132,87,130,39,-2.233
173,233,88,177,75,-2.154
74,24,44,105,2,-1.859
158,136,83,144,36,-1.22
81,28,46,62,32,-1.921
72,87,129,79,103,0.271
8,53,50,32,34,0.097
150,130,40,160,4,-3.174
50,13,53,60,6,-0.888
57,108,13,122,95,-0.735
252,201,75,261,27,-0.692
109,31,25,132,37,-1.111
166,163,2,115,33,-1.353
95,54,84,180,15,-2.835
58,10,116,51,55,-0.365
113,29,5,97,3,-4.206
41,63,64,28,25,-0.648
10,11,10,53,5,-1.595
30,120,122,53,125,0.622
71,10,2,114,2,-3.208
67,141,143,5,145,-2.24
14,1,1,96,3,-5.308
33,122,124,41,238,-0.504
285,331,308,171,184,-0.547
131,117,198,183,199,-0.032
422,336,427,361,111,-2.199
98,176,170,89,86,-0.664
379,322,390,349,33,-0.343
252,100,83,461,37,-2.826
224,91,266,128,121,-2.822
51,20,22,35,22,-3.588
15,17,3,1,10,0.249
8,11,11,3,21,-1.115
26,6,22,84,6,-0.859
54,12,56,76,9,-1.853
197,161,2,131,28,-2.156
142,123,60,95,3,-4.345
5,53,40,48,104,-1.134
150,200,176,123,155,0.017
128,38,56,33,48,-1.185
69,9,23,342,6,-3.424
4,97,103,14,210,0.658
223,207,252,278,254,-1.292
239,315,260,194,255,-0.207
319,260,319,304,232,-0.664
