"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
317,251,53,317,68,-0.612
392,359,405,248,13,-0.019
302,140,333,192,509,-0.569
9,5,5,19,6,-1.452
2,4,1,7,3,-1.122
15,10,6,41,4,-0.498
18,3,2,4,2,-1.193
114,48,51,104,26,-1.174
175,61,208,158,87,-0.587
765,719,780,410,107,-0.871
174,32,234,31,111,-1.48
367,63,5,136,1126,-2.045
888,781,895,805,16,-1.925
72,21,6,34,5,-2.085
137,129,69,90,12,-1.394
108,51,30,222,17,-1.899
199,36,32,105,11,-1.565
53,17,12,70,2,-0.667
38,4,11,18,162,-0.183
11,13,2,20,2,-1.938
37,35,38,30,17,-0.382
31,30,1,41,3,-1.37
6,9,12,15,7,-1.408
194,11,4,36,22,-1.272
125,188,74,212,2,-1.695
18,3,66,40,44,-1.485
73,26,40,213,18,-1.486
16,5,78,174,47,-0.496
94,38,91,76,133,-0.743
5,2,36,7,4,-1.009
14,1,40,10,17,-0.621
1,1,103,4,69,-1.038
23,4,5,2,3,-0.833
34,8,3,22,1,-2.066
414,376,84,332,52,-1.112
349,173,373,379,85,-1.574
541,438,60,432,26,-1.549
214,53,264,180,245,-1.653
181,57,245,34,13,-1.584
258,41,11,285,2,-0.895
79,2,160,14,32,-1.581
1153,855,1186,541,1097,-1.843
1161,1147,1185,1644,136,-1.391
1168,1151,1191,1315,4,-1.639
177,15,251,61,95,-1.47
1113,522,55,499,498,-0.776
24,28,12,28,51,-1.15
22,26,6,13,48,-0.955
21,5,4,7,1,-2.09
12,6,3,1,4,-2.298
8,3,2,4,3,-1.934
108,71,20,98,9,-1.446
98,9,1,22,1,-1.964
98,47,23,98,13,-0.661
18,1,51,17,31,-1.066
29,5,112,43,52,-0.471
28,36,1,5,3,-0.691
25,1,2,2,5,-1.73
65,26,11,60,2,-0.164
400,328,409,274,11,-0.203
5,2,20,36,9,-1.587
26,16,110,37,2,-0.822
9,1,14,1,110,-1.235
135,56,82,109,56,-0.301
39,26,24,73,46,-0.585
15,4,34,19,79,-1.861
7,5,9,4,1,-1.66
5,40,51,16,13,-2.3
128,105,9,91,4,-2.022
