"rank_cctop","rank_flash","rank_cpick","rank_chopchop","rank_crisprverse","lfc"
18,18,2,12,6,-1.373
12,16,22,36,19,-0.264
22,22,31,22,22,-0.88
141,37,183,146,196,-1.521
78,21,138,91,29,-1.489
73,4,135,50,46,-0.868
28,125,108,64,137,-0.834
30,3,42,16,68,-1.639
110,24,158,82,176,0.294
20,79,3,11,20,-0.706
39,101,118,16,72,-2.547
35,47,36,5,61,-1.071
141,61,178,74,109,-1.237
132,43,34,26,29,-1.907
18,9,108,20,100,0.128
130,56,100,213,335,-2.942
19,152,113,55,273,0.471
609,248,630,462,116,-0.902
187,390,252,211,310,-1.75
372,481,415,96,180,-2.003
219,10,280,129,3,-2.449
10,1,2,2,1,-3.091
738,361,764,775,148,-0.583
1130,1077,1143,638,895,-0.967
1127,399,1140,396,382,-1.906
468,759,512,894,660,-0.387
837,129,857,387,330,-2.129
22,37,56,14,34,-1.272
13,14,26,27,11,-3.113
17,10,18,16,75,-0.455
43,28,25,52,16,-1.985
42,27,29,50,15,-2.441
13,19,4,8,5,-2.709
15,8,6,34,42,-1.715
12,56,2,10,26,-0.579
22,3,13,16,34,-1.749
66,37,150,36,47,-0.994
79,2,160,14,32,-1.043
139,144,211,235,304,-0.522
69,275,83,103,239,-1.802
386,434,421,306,565,-0.81
201,70,262,330,355,-1.353
356,70,391,209,139,-2.055
525,243,544,594,95,-0.74
669,825,677,688,229,-2.361
177,47,39,100,101,-0.919
31,287,119,35,444,-1.744
742,641,747,600,202,-2.057
36,8,70,70,13,-2.709
95,35,158,40,162,0.176
3,1,4,1,2,-2.981
252,247,263,175,102,0.024
23,68,42,5,80,-2.292
11,3,108,11,99,-0.539
346,428,75,318,108,-1.461
215,101,30,212,65,-0.103
40,144,133,24,142,-0.407
85,167,162,122,179,-0.757
8,115,107,8,156,-0.826
172,268,37,243,130,-0.193
294,81,325,185,87,-0.017
98,235,170,35,220,1.044
64,32,11,98,25,-0.045
370,176,92,220,135,-0.004
4,12,8,3,14,-1.595
7,1,9,8,2,-2.107
22,37,18,11,17,-1.445
3,6,10,4,15,-1.712
30,35,39,13,20,-0.611
104,225,24,24,123,-2.578
158,50,29,64,49,-2.146
28,1,45,18,127,-0.322
323,326,63,317,130,-1.486
253,109,54,176,105,0.057
6,2,98,1,54,-0.481
260,247,73,180,20,-1.916
127,39,180,142,143,-0.669
212,117,238,127,114,0.211
146,44,4,53,19,-2.064
181,56,246,232,127,0.152
212,28,276,204,4,0.694
164,36,75,148,80,-2.669
154,42,82,106,143,-1.504
618,595,622,500,438,-0.101
260,45,19,259,22,-1.243
8,1,106,1,218,0.048
23,91,116,258,135,-0.853
77,25,41,74,10,-1.85
164,158,1,88,3,-2.315
61,7,6,118,24,-0.857
50,40,2,50,40,-1.05
118,176,74,258,49,-2.012
138,47,75,31,24,-2.861
100,48,168,414,180,-2.381
58,37,1,35,47,-3.079
135,77,4,172,7,-1.372
121,98,83,96,36,-0.45
39,21,9,45,32,-0.736
14,42,22,1,25,-2.026
13,31,19,20,11,-2.701
107,82,46,84,16,-0.88
19,49,36,77,18,-1.651
36,22,15,30,3,-2.383
35,61,7,6,4,-0.142
50,228,62,56,218,0.216
74,2,1,27,2,-2.521
371,148,387,322,75,-2.431
87,244,154,127,287,0.062
290,92,319,168,40,-0.545
3,20,19,36,173,-1.842
90,42,11,96,42,-1.25
119,52,45,165,12,-1.544
66,36,56,70,11,-2.52
16,1,3,2,3,-1.328
39,44,59,43,31,-1.184
25,2,20,39,5,-0.996
62,77,95,12,42,-0.143
98,28,21,73,35,-3.096
132,187,46,225,76,0.278
18,3,12,131,23,0.048
241,243,285,170,68,0.186
152,93,92,38,91,-0.465
203,225,246,190,246,-0.301
111,178,172,26,310,0.028
288,95,89,128,22,-0.002
15,112,2,52,64,-0.645
39,2,117,34,115,0.011
98,111,151,30,35,-0.51
70,39,57,111,27,-0.639
33,80,114,1,92,-0.461
44,83,123,4,69,-1.861
